A function is called a kernel |||(1) It is declared with the __global__ keyword,(2) It is launched from the CPU using the triple-chevron syntax <<<...>>>,(3) It is intended to run in parallel on many threads on the GPU.
When a kernel is launched with <<<N, M>>>||| the GPU creates N blocks with M threads each, for a total of N×M threads. All these threads execute the kernel function in parallel. Each thread can identify itself using blockIdx.x and threadIdx.x to process different data.
What is a kernel in CUDA|||A kernel is a function declared with the __global__ qualifier that is executed on the GPU. It is launched from the host (CPU) using the execution configuration syntax <<<gridDim, blockDim>>>. All threads created by the launch execute the same kernel code in parallel.
What happens when you launch a kernel with <<<N, M>>>|||The launch creates a grid consisting of N blocks, where each block contains M threads. This results in a total of N × M threads. Each thread executes the kernel function concurrently on the GPU.
What is the difference between a Block and a Thread|||A Thread is the smallest unit of execution.A Block is a group of threads that can cooperate with each other (share shared memory and synchronize using __syncthreads()). Blocks are independent of each other and cannot directly synchronize.   
How does a thread identify which data it should process?|||Each thread calculates a unique index, typically using:  int globalId = blockIdx.x * blockDim.x + threadIdx.x;  blockIdx.x gives the block index, threadIdx.x gives the thread index within the block, and blockDim.x is the number of threads per block.
What is a Grid in CUDA?A Grid is the collection of all blocks launched in a single kernel invocation. It is the highest level in the CUDA hierarchy: Grid → Blocks → Threads.
Can blocks synchronize with each other?|||No. Blocks are independent and cannot synchronize with each other. Only threads within the same block can synchronize using __syncthreads().
What is the maximum number of threads per block?|||The typical hardware limit is 1024 threads per block. The exact limit can be queried using cudaDeviceProp.
What is the difference between __global__, __device__, and __host__?|||__global__: Kernel function. Launched from host, runs on device.  __device__: Function that runs on the GPU, can only be called from other device functions or kernels.  __host__: Regular CPU function (default if no qualifier is used).
Is kernel launch synchronous or asynchronous?|||Kernel launches are asynchronous by default. The CPU continues execution immediately after the launch. We use cudaDeviceSynchronize() to wait for the GPU to finish.
Why do we use cudaMalloc and cudaMemcpy?|||cudaMalloc allocates memory on the GPU device. cudaMemcpy transfers data between host (CPU) memory and device (GPU) memory. The GPU cannot directly access host memory in this simple model.
