word|||definition
Derivative|||The rate at which a function changes with respect to a variable
Integral|||The area under a curve representing the accumulation of a quantity
Matrix|||A rectangular array of numbers arranged in rows and columns
Theorem|||A statement that has been proven based on axioms and previously established results
Polynomial|||An expression consisting of variables and coefficients using addition subtraction and multiplication
Vector|||A quantity with both magnitude and direction
Prime Number|||A natural number greater than one with no divisors other than one and itself
Logarithm|||The exponent to which a base must be raised to produce a given number
Probability|||A measure of the likelihood that an event will occur ranging from zero to one
Permutation|||An arrangement of elements in a specific order
Combination|||A selection of elements from a set where order does not matter
Asymptote|||A line that a curve approaches but never reaches
Factorial|||The product of all positive integers up to and including a given number
Hypotenuse|||The longest side of a right triangle opposite the right angle
Quadratic|||An equation or expression of the second degree containing a squared variable
Exponent|||A number indicating how many times a base is multiplied by itself
Reciprocal|||The multiplicative inverse of a number that when multiplied by the original gives one
Coefficient|||A numerical factor multiplied by a variable in an algebraic expression
Congruent|||Having the same shape and size so that figures can be superimposed exactly
Tangent|||A line that touches a curve at exactly one point without crossing it
Irrational Number|||A number that cannot be expressed as a simple fraction of two integers
Median|||The middle value in a sorted list of numbers
Mode|||The value that appears most frequently in a data set
Standard Deviation|||A measure of the amount of variation or dispersion in a set of values
Parabola|||A symmetrical curve formed by the intersection of a cone with a parallel plane
Denominator|||The bottom number in a fraction representing the total number of equal parts
Numerator|||The top number in a fraction representing how many parts are taken
Perpendicular|||Two lines or planes meeting at a right angle of ninety degrees
Circumference|||The total distance around the outside of a circle
Eigenvalue|||A scalar that indicates how much an eigenvector is scaled during a linear transformation
